Date,FX_R,IsPrem_R,BcPrem_R,FiPrem_R,TcPrem_R,SiPrem_R,EcPrem_R,OVX_C,OVX_PC,OVX_NC
2010/3/15,0.261400857,-0.950474639,-1.946817539,-1.809804561,-1.48389405,-1.716279513,-1.535003416,1.27,1.27,0
2010/3/16,-0.141353856,0.571959714,2.533728931,0.923472654,1.596443441,0.574529117,0.707302003,-0.16,0,-0.16
2010/3/17,-0.157282164,1.22991497,0.932212293,2.507040754,1.255821724,2.126041739,2.484583811,-0.75,0,-0.75
2010/3/18,0.078764965,-0.117352329,0.731141391,0.698070932,0.799544725,0.37498111,1.030393328,-0.740001,0,-0.740001
2010/3/19,-0.047221785,0.00296667,1.323804582,0.116706604,0.521828202,-0.348103455,0.714577143,0.12,0.12,0
2010/3/22,0.188976378,-1.167135284,0.168577087,-0.946780137,0.519053164,-1.417034433,0.042833837,-2.28,0,-2.28
2010/3/23,0.031436655,-0.423474389,-1.144995426,-0.526350693,-0.95263091,-0.01809574,0.830209965,-0.34,0,-0.34
2010/3/24,0.087994972,1.034538834,-0.13133067,0.038444938,-0.103533046,0.865842988,-0.486209159,0.11,0.11,0
2010/3/25,-0.025119317,0.124084754,1.05478019,-0.173727448,0.258048694,1.253264151,-0.440256927,0.789999,0.789999,0
2010/3/26,0.009422111,-0.403081419,-0.023424241,0.129260726,0.362616048,1.432683894,0.212595849,-0.029999,0,-0.029999
2010/3/29,-0.166441604,0.51478529,0.022775044,1.147164526,3.109251621,0.12649316,1.05891538,0.07,0.07,0
2010/3/30,-0.094369299,0.477596977,0.189956587,0.512925049,2.063904914,-0.197669247,-0.14930533,-0.610001,0,-0.610001
2010/3/31,0.094458438,-0.228976005,-0.13347603,-1.450236314,-0.31160422,-0.450556989,-0.437236226,0.050002,0.050002,0
2010/4/1,-0.125825731,0.751786515,3.210975258,1.448168473,2.149482826,1.516080302,0.331446879,-0.370001,0,-0.370001
2010/4/6,-0.236220472,1.959105642,0.58658777,0.135020814,1.014210455,1.743052161,1.026218715,-0.440001,0,-0.440001
2010/4/7,-0.331491713,-0.181610468,1.312279397,0.347974411,0.983194477,-0.110898366,-0.065054553,0.240002,0.240002,0
2010/4/8,-0.015837821,0.279691855,2.109416491,0.507768145,-1.046473477,-1.936842516,-1.360386448,0.209999,0.209999,0
2010/4/9,-0.047520988,0.329075701,0.275562417,0.746600878,1.565036511,0.412030599,0.644843688,-0.1,0,-0.1
2010/4/12,-0.095087163,2.246379744,0.730094684,0.024274101,-0.74142959,0.457828544,0.042190875,-2.13,0,-2.13
2010/4/13,0.095177665,-0.43801499,-2.596488904,-1.796906582,-0.142938502,-0.928428883,-0.567947777,0.24,0.24,0
2010/4/14,-0.412044374,0.57599923,1.615030935,0.794252406,3.018165248,1.188347941,1.425983153,-0.120001,0,-0.120001
2010/4/15,-0.143220878,0.5970759,0.695798531,0.462096438,2.168960901,0.796682667,0.717843126,-0.239999,0,-0.239999
2010/4/16,0.22310757,-0.102844729,0.84204948,-0.966991199,0.203231591,-1.749804596,-0.217650806,0.26,0.26,0
2010/4/19,0.159007791,-3.660745223,-4.990680207,-4.063625282,-4.162290408,-2.495541546,-3.439701341,1.86,1.86,0
2010/4/20,-0.30163518,-1.057162786,-0.790950801,0.455062936,0.225437269,0.544103893,2.756140991,-1.220001,0,-1.220001
2010/4/21,-0.111464968,0.606387674,1.207446538,0.694380213,0.143502041,1.221516418,1.433233396,-0.129999,0,-0.129999
2010/4/22,0.127530687,-1.551936741,-1.71309267,-1.168382287,-0.479705582,-0.161719343,-0.146355604,-0.02,0,-0.02
2010/4/23,-0.159210317,0.41481898,-0.346176611,0.128385962,1.280267045,0.41506454,0.546063032,-0.97,0,-0.97
2010/4/26,-0.09567852,1.566788273,1.033107378,2.552070063,1.37140598,2.125244012,1.652183203,1.34,1.34,0
2010/4/27,0.063846768,0.179414414,-0.916540228,-0.328572187,-0.078583991,-0.345629565,0.143612293,2.32,2.32,0
2010/4/28,0.223321104,-0.988283095,-1.19995752,-1.888483117,0.896188938,-1.593529506,-0.189154065,0.34,0.34,0
2010/4/29,-0.296036925,0.138524121,0.857709399,-0.224141638,-0.183110665,-1.164982232,-0.017154841,-1.149999,0,-1.149999
2010/4/30,0.009577932,-0.674757737,-0.931524357,0.518610366,-0.683785457,-0.973015006,-1.683245574,0.719999,0.719999,0
2010/5/3,0.255387071,-0.534314083,-0.023297027,-0.634899934,-3.4194258,-0.347545038,-1.034062499,-0.07,0,-0.07
2010/5/4,0.264289126,-0.59713176,-1.003835305,-0.117700565,-1.961609272,-0.446737757,0.301332616,2.489998,2.489998,0
2010/5/5,0.371570122,-3.265131481,-3.080234074,-2.263433467,-1.489638147,-2.98376283,-3.384125743,2.940003,2.940003,0
2010/5/6,0.585350419,-1.966629261,-1.494312385,-0.676693921,-1.213571268,-1.185274435,-1.065611694,4.119999,4.119999,0
2010/5/7,-0.031456433,-0.278379988,-0.546652508,-1.165878052,-0.135087068,0.186901922,0.413039732,2.880001,2.880001,0
2010/5/10,-0.676526117,1.699155402,2.320281325,0.737547843,0.973754669,1.365091409,0.975344208,-2.560002,0,-2.560002
2010/5/11,0.237604942,-1.46672587,-1.457454483,-0.617237928,0.101346052,-0.334201936,0.285810278,-1.18,0,-1.18
2010/5/12,0.031605563,0.449198759,0.165494816,0.896487852,0.542914124,-0.614232561,-0.029852143,-1.91,0,-1.91
2010/5/13,0.221169036,1.280245541,2.445525527,3.496406464,1.999464399,1.997169562,1.653561337,-0.5,0,-0.5
2010/5/14,0.189155107,-0.792400217,-0.234008936,-0.30207251,1.161277549,0.006874029,0.935516216,4,4,0
2010/5/17,0.110132159,-1.618638929,-2.777817222,-2.410971392,-0.136040065,-2.981706401,-2.094578909,0.670002,0.670002,0
2010/5/18,0.062863429,0.351633184,0.035531032,0.498844821,0.413784178,-0.598435001,0.127018925,1.829998,1.829998,0
2010/5/19,0.665933721,-0.544021741,1.342920913,-0.306189239,0.288826225,-0.640844249,0.199093501,1.07,1.07,0
2010/5/20,0.212188348,-1.758157775,-2.596579031,-2.035347984,-1.991890739,-1.61044867,-1.795547422,2.43,2.43,0
2010/5/21,0.12455239,-2.74199028,-3.471352516,-3.033761661,-1.955459292,-1.384590211,-4.127786933,-1.889999,0,-1.889999
2010/5/24,-0.139947131,0.177014073,2.797060213,0.851028203,3.659600394,0.97614596,1.551086887,0.330002,0.330002,0
2010/5/25,0.76300218,-2.928793519,-3.333881324,-3.541276105,-0.450735434,-2.269025904,-3.585779445,0.899997,0.899997,0
2010/5/26,-0.469788286,0.537751413,1.197620996,1.941371264,-0.590294119,1.520587999,1.740630779,-2.349998,0,-2.349998
2010/5/27,-0.506164022,1.222197807,2.083515965,0.411207167,0.250805712,0.974264509,1.761853419,-2.75,0,-2.75
2010/5/28,-0.046816479,0.838570457,0.750406387,0.412017109,0.802465262,0.340080751,0.598567311,-0.209999,0,-0.209999
2010/6/1,0.992974239,-0.515329938,0.237009923,-0.88804608,0.343869568,1.159939127,0.219671285,5.569999,5.569999,0
2010/6/2,-0.457595152,-1.320505712,-1.007067027,-0.815206917,-0.415035919,-0.607652664,-1.602883823,-3.140003,0,-3.140003
2010/6/3,0.186364342,1.542589429,1.288719393,2.360791882,2.413945861,2.417765078,2.353389795,-1.199997,0,-1.199997
2010/6/4,0.024802356,-0.256499832,-0.578524551,-0.911251498,-0.152857567,-0.044206727,-0.104751748,5.430001,5.430001,0
2010/6/7,0.492824598,-1.824123923,-2.587091494,-2.644713017,-0.608767088,-2.48822478,-3.20539192,-0.370003,0,-0.370003
2010/6/8,-0.098698415,0.043607342,0.566352951,0.302283752,2.037364261,-0.731151698,-0.915327028,-2.930001,0,-2.930001
2010/6/9,0.061747453,-1.522139864,-0.663387536,-1.656401562,-0.256735786,-0.935754482,-1.027109193,-1.299999,0,-1.299999
2010/6/10,-0.061709349,1.434171366,1.443139156,1.676885892,0.497759973,1.214808914,1.509664796,-3.639999,0,-3.639999
2010/6/11,0.061747453,1.098260915,1.314907622,2.662838383,1.464081614,1.637305769,1.60281339,0.459999,0.459999,0
2010/6/14,-0.61709349,1.446842188,0.657255437,2.047838475,1.013987344,0.737233988,1.108664065,0.350002,0.350002,0
2010/6/15,0.155231295,0.589965491,0.423259157,1.429519041,-0.40450717,0.330594305,1.146459991,-2,0,-2
2010/6/17,-0.09299442,0.643817122,0.642619829,0.227315625,0.72372125,0.768012516,1.603926121,-1.43,0,-1.43
2010/6/18,-0.170648464,-1.030788538,-0.378115592,-0.29642559,-0.79404153,0.096648753,0.27455113,-1.040001,0,-1.040001
2010/6/21,-1.305361305,0.943632369,4.094586728,2.54715471,3.482637374,1.208788421,1.938608457,0.110001,0.110001,0
2010/6/22,1.039206424,0.108279385,0.270758017,-0.220780259,0.905647594,-0.624634514,0.530703531,0.11,0.11,0
2010/6/23,-0.046750818,-0.593936244,0.005096773,-0.664623718,0.619122897,-0.348807311,-0.053072216,1.289997,1.289997,0
2010/6/24,-0.109136264,1.063391731,-0.234752659,0.437032338,0.965674999,-0.388220833,-0.693635553,0.650002,0.650002,0
2010/6/25,0.124863431,-1.743440976,-3.709093679,0.135731279,-2.008832835,-1.823737741,-1.96469935,-1.59,0,-1.59
2010/6/28,-0.087295401,0.080748076,-0.124996052,2.192148755,-1.136464506,-0.318697034,0.432847691,0.889999,0.889999,0
2010/6/29,0.533591288,-1.071521911,-0.401127165,-1.80815023,-2.85848303,-1.104406405,-0.648540847,2.450001,2.450001,0
2010/6/30,0.176919734,-1.034358996,-0.612342195,-1.680537073,2.070793561,-1.420689166,-1.958895889,0.34,0.34,0
2010/7/1,-0.164213788,-0.750841864,-0.495443589,-1.142473571,-2.72398352,-1.57515166,-0.416432347,1.720001,1.720001,0
2010/7/2,0.09310409,0.537869815,0.793536334,3.607173033,1.09527902,0.376072621,1.382292214,-2.030002,0,-2.030002
2010/7/6,-0.093017487,2.500435409,1.647680151,2.823929521,2.649007323,1.800377608,3.398164784,1.050003,1.050003,0
2010/7/7,-0.068276333,-0.465655809,0.508260262,-0.426508988,1.099136621,-0.565638372,0.423849105,-2.490002,0,-2.490002
2010/7/8,-0.341614907,0.784159384,0.067949834,-0.013977233,1.434595618,1.335608621,1.692542517,-1.970001,0,-1.970001
2010/7/9,-0.109068246,-0.13939349,-0.619246414,0.594500767,0.324842907,0.722284133,1.208771575,-1.209999,0,-1.209999
2010/7/12,0.218374669,-0.082163098,-0.456665385,-0.417593729,-0.877832539,-0.741392564,-0.720889972,-1.369999,0,-1.369999
2010/7/13,0.140077821,-0.331218555,-0.930398354,-0.208896076,-0.571725788,-0.614509913,-0.017261414,-0.330002,0,-0.330002
2010/7/14,-0.093254585,0.484276745,0.369170878,2.216698096,1.504217124,1.858745485,-0.028926167,0.290001,0.290001,0
2010/7/15,-0.062227754,-0.292478231,0.442474449,0.521730087,0.299132359,-0.69857238,-0.284643799,0.080002,0.080002,0
2010/7/16,0.021793275,-0.763030628,1.057715472,1.050663997,1.981758558,-0.716500613,-2.092090406,0.889999,0.889999,0
2010/7/19,0.0466897,1.791342954,1.186336542,-0.698939747,-0.863698221,0.458483008,0.720605597,-0.100002,0,-0.100002
2010/7/20,-0.037334329,0.051392152,-0.016456366,0.061829913,0.847969213,0.825913588,2.346417801,-1.599999,0,-1.599999
2010/7/21,0.305010893,-0.185728016,-0.758131457,-0.849517974,1.162613169,0.112287391,-0.294197258,1.450001,1.450001,0
2010/7/22,-0.248231352,1.486334116,-0.705204678,-0.648275962,-0.559249609,-0.489217449,-1.267798661,-0.290001,0,-0.290001
2010/7/23,-0.00933184,0.7903229,1.647287868,0.6685607,0.166308035,1.281958147,1.190857869,-1.150001,0,-1.150001
2010/7/26,-0.149323378,0.208151217,-0.738590203,0.241492862,0.207407478,0.085306879,0.284269987,0.630001,0.630001,0
2010/7/27,-0.249244478,-0.264989886,-0.411286712,-1.037646018,0.029940289,-0.057299911,-0.086363096,-0.16,0,-0.16
2010/7/28,0.046850111,-0.005470994,2.483424421,1.06932844,1.39849314,-0.822273794,0.260547974,0.880001,0.880001,0
2010/7/29,-0.152972028,0.440610822,-0.703893462,0.093772394,0.430855798,-0.998908429,-0.824454643,-2.220001,0,-2.220001
2010/7/30,0.012506644,-0.366185913,-0.647418473,-0.09982951,-0.016959607,-0.757950075,-0.749734631,-0.05,0,-0.05
2010/8/2,-0.6471379,1.554553038,1.385065968,3.61765833,2.42761354,0.460275739,2.057003338,0.100001,0.100001,0
2010/8/3,-0.022026432,1.823124108,1.591542709,0.570222837,1.894766336,0.140293047,0.178333168,0.469999,0.469999,0
2010/8/4,0.195134233,0.066492597,-0.259078077,0.584878086,0.705027701,-0.16400078,-0.016793589,-0.33,0,-0.33
2010/8/5,-0.16648343,-0.391050548,0.076001546,-0.133300046,0.69457827,-0.3363439,-1.117009775,-0.44,0,-0.44
2010/8/6,-0.242275502,-0.239410546,0.414869133,0.285723811,0.782765214,-0.603166787,-0.654289207,-0.42,0,-0.42
2010/8/9,-0.078851916,0.951730705,0.606499709,2.608089484,4.289504601,0.743355932,0.356435463,0.409999,0.409999,0
2010/8/10,0.315656566,-0.488106779,-1.077944916,-0.961748956,-0.780909053,-0.562481881,-0.446937367,0.770003,0.770003,0
2010/8/11,0.267463814,-0.562311333,-0.983591993,-2.458424355,-2.806887178,0.101529556,-1.184426016,2.099998,2.099998,0
2010/8/12,0.266750353,-0.520140571,0.355168113,-0.102642598,-1.354550663,-0.738135961,-1.340162006,0.66,0.66,0
2010/8/13,-0.037558685,0.530833527,2.369139593,0.284516091,0.005900365,0.330617631,1.791149124,-0.220001,0,-0.220001
